#{"t_start": 1748654011.4573238, "env_id": "None"}
r,l,t
-47.0,2,857.360631
-50.0,1,860.294047
-47.0,2,860.294109
-38.0,1,867.035385
-32.0,1,867.035532
-50.0,1,872.704987
-47.0,2,876.209396
-29.0,1,876.209462
-50.0,1,879.18502
-50.0,1,879.185187
-50.0,1,885.718198
-47.0,2,890.524631
-44.0,2,896.033444
-35.0,1,900.663512
-47.0,2,900.663613
-47.0,2,913.610043
-47.0,2,913.610139
-47.0,2,925.998081
-47.0,2,925.998245
-29.0,1,933.093853
-50.0,1,936.256557
-47.0,2,936.256757
-32.0,1,944.106361
-50.0,1,946.676014
-47.0,2,946.676085
-47.0,2,958.675095
-47.0,2,958.67518
-35.0,1,968.210816
-47.0,2,975.340364
-47.0,2,977.888599
-50.0,1,977.888666
-50.0,1,981.830896
-29.0,1,981.831035
-50.0,1,988.310632
-44.0,2,991.936563
-26.0,1,991.936664
-50.0,1,998.200251
-47.0,2,1001.835016
-32.0,1,1001.835246
-50.0,1,1010.931604
-47.0,2,1019.739287
-47.0,2,1026.254088
-47.0,2,1029.439183
-29.0,1,1029.439255
-35.0,1,1034.472697
-50.0,1,1034.472792
-5.0,1,1043.980337
-38.0,1,1043.980398
-50.0,1,1049.842297
-50.0,1,1053.32108
-47.0,2,1053.321211
-32.0,1,1060.486737
-47.0,2,1063.337886
-50.0,1,1063.337958
-32.0,1,1069.243742
-50.0,1,1071.745959
-44.0,2,1071.746022
-5.0,1,1078.582071
-50.0,1,1078.582175
-50.0,1,1084.500472
-47.0,2,1090.079397
-44.0,2,1093.267029
-50.0,1,1093.267157
-47.0,2,1105.630058
-47.0,2,1105.630192
-35.0,1,1111.781837
-50.0,1,1111.781926
-32.0,1,1119.017321
-44.0,2,1125.351305
-47.0,2,1129.893543
-32.0,1,1129.8936
-47.0,2,1141.525819
-44.0,2,1141.525884
-27.0,1,1148.343709
-50.0,1,1151.494758
-44.0,2,1151.494817
-44.0,2,1163.105299
-47.0,2,1163.105376
-44.0,2,1174.618554
-47.0,2,1174.618638
-50.0,1,1177.428747
-50.0,1,1177.428876
-44.0,2,1189.620343
-47.0,2,1189.620515
-44.0,2,1200.744297
-47.0,2,1200.744411
-50.0,1,1205.554376
-44.0,2,1212.989117
-47.0,2,1219.877583
-47.0,2,1223.714642
-26.0,1,1223.714723
-50.0,1,1226.787355
-50.0,1,1226.787417
-47.0,2,1239.37525
-44.0,2,1239.375333
-50.0,1,1245.595878
-47.0,2,1252.498698
-50.0,1,1255.753148
-47.0,2,1255.753443
-26.0,1,1259.238915
-50.0,1,1259.238975
-50.0,1,1263.271748
-29.0,1,1263.271858
-50.0,1,1267.008447
-44.0,2,1272.541974
-44.0,2,1276.263278
-44.0,2,1279.790771
-29.0,1,1282.720488
-44.0,2,1282.720576
-50.0,1,1285.315807
-50.0,1,1285.315879
-50.0,1,1287.731473
-50.0,1,1287.73162
-50.0,1,1290.185415
-50.0,1,1290.185487
-50.0,1,1294.846542
-50.0,1,1297.928158
-44.0,2,1297.92849
-32.0,1,1304.773487
-41.0,1,1304.773569
-50.0,1,1307.483959
-50.0,1,1307.484082
-2.0,1,1312.891588
-50.0,1,1312.891778
-50.0,1,1316.387657
-50.0,1,1316.387718
-50.0,1,1318.633993
-50.0,1,1318.634171
-47.0,2,1324.52041
-41.0,2,1324.520472
-50.0,1,1327.721614
-50.0,1,1329.115458
-47.0,2,1329.115521
-2.0,1,1335.294102
-41.0,2,1338.526178
-50.0,1,1338.526253
-50.0,1,1340.752612
-50.0,1,1340.752667
-50.0,1,1343.935948
-44.0,2,1346.664798
-44.0,2,1350.279919
-50.0,1,1352.087476
-47.0,2,1352.087541
-47.0,2,1359.85167
-47.0,2,1359.851737
-50.0,2,1366.877321
-47.0,2,1366.877388
-50.0,1,1369.651919
-47.0,2,1372.663103
-47.0,2,1375.187888
-38.0,1,1375.187948
-50.0,1,1377.58701
-41.0,2,1380.08533
-50.0,1,1381.464388
-44.0,2,1381.464451
-41.0,2,1385.841361
-44.0,2,1385.841437
-32.0,1,1389.226914
-50.0,1,1390.587478
-50.0,2,1390.587536
-50.0,1,1393.356006
-41.0,2,1396.950901
-47.0,2,1399.793684
-50.0,1,1401.29776
-41.0,2,1401.297817
-32.0,1,1403.773001
-32.0,1,1403.773064
-50.0,1,1404.952986
-50.0,1,1404.953045
-50.0,1,1407.869922
-50.0,1,1409.194626
-50.0,2,1409.194684
-50.0,1,1411.939139
-47.0,2,1414.340833
-44.0,2,1416.659441
-32.0,1,1418.543261
-41.0,2,1418.543323
-44.0,2,1422.9258
-14.0,2,1422.925859
-50.0,2,1428.416975
-9.0,2,1428.417037
-30.0,1,1431.43842
-47.0,2,1432.604556
-50.0,1,1432.604614
-50.0,1,1433.755812
-50.0,1,1433.755869
-32.0,1,1435.692671
-50.0,1,1435.692739
-50.0,1,1438.853528
-50.0,2,1441.277506
-44.0,2,1443.517422
-41.0,2,1445.930329
-47.0,2,1447.099215
-50.0,1,1447.099276
-50.0,1,1448.790514
-35.0,2,1451.061374
-44.0,2,1454.790756
-50.0,1,1456.334629
-47.0,2,1456.334689
-50.0,2,1462.711593
-35.0,2,1462.711649
-50.0,1,1464.372183
-32.0,1,1464.372244
-50.0,1,1467.2077
-44.0,2,1469.080837
-50.0,1,1470.212811
-41.0,2,1470.212879
-41.0,2,1474.37374
-44.0,2,1474.373797
-32.0,1,1477.007196
-44.0,2,1478.086629
-50.0,1,1478.086686
-32.0,1,1480.690516
-44.0,2,1481.85437
-50.0,1,1481.854429
-32.0,1,1485.597064
-50.0,2,1486.72912
-50.0,1,1486.729178
-41.0,2,1491.404797
-47.0,2,1491.404856
-38.0,1,1495.65938
-50.0,1,1496.848471
-50.0,2,1496.848529
-50.0,1,1498.001431
-50.0,1,1498.001484
-50.0,1,1501.042286
-50.0,2,1504.194172
-50.0,2,1507.195451
-50.0,2,1510.197612
-50.0,2,1513.350451
-50.0,2,1514.586929
-50.0,1,1514.586992
-50.0,1,1517.091697
-50.0,1,1518.216449
-47.0,2,1518.216508
-32.0,1,1521.353338
-50.0,1,1522.648081
-47.0,2,1522.648139
-35.0,2,1527.050256
-47.0,2,1527.050321
-50.0,1,1528.837156
-32.0,1,1528.837212
-32.0,1,1531.481637
-50.0,1,1531.481707
-50.0,1,1533.842194
-35.0,1,1533.842255
-50.0,1,1536.630591
-50.0,2,1539.941134
-38.0,1,1539.941246
-50.0,2,1545.123579
-44.0,2,1545.123632
-44.0,2,1549.128465
-44.0,2,1549.128522
-50.0,2,1554.47542
-47.0,2,1554.475485
-50.0,1,1557.56869
-32.0,1,1559.258448
-50.0,2,1559.258562
-50.0,1,1561.767823
-47.0,2,1564.8845
-50.0,2,1569.924483
-47.0,2,1575.540019
-47.0,2,1580.100232
-50.0,1,1582.08549
-47.0,2,1582.085552
-50.0,1,1583.863517
-38.0,2,1584.962034
-50.0,1,1584.962154
-50.0,2,1591.006781
-47.0,2,1591.00685
-44.0,2,1594.931705
-41.0,2,1594.931764
-38.0,2,1599.116121
-47.0,2,1599.116189
-50.0,1,1602.124953
-50.0,2,1604.142251
-44.0,2,1606.124743
-44.0,2,1608.078959
-44.0,2,1610.83182
-50.0,2,1613.258086
-47.0,2,1615.309777
-50.0,1,1616.557537
-44.0,2,1616.557596
-50.0,1,1619.30902
-47.0,2,1620.559987
-50.0,1,1620.56004
-50.0,2,1625.942259
-44.0,2,1625.942316
-50.0,1,1628.654718
-47.0,2,1630.583869
-38.0,2,1633.280666
-47.0,2,1635.176647
-38.0,2,1637.796363
-47.0,2,1639.660578
-32.0,1,1639.660635
-50.0,1,1642.516197
-50.0,2,1645.016321
-50.0,1,1646.315926
-47.0,2,1646.315987
-50.0,1,1647.684424
-50.0,1,1647.684481
-50.0,2,1653.888975
-44.0,2,1653.889039
-50.0,1,1656.336581
-44.0,2,1659.527419
-50.0,2,1661.253186
-5.0,2,1664.286904
-47.0,2,1666.530546
-50.0,1,1667.744381
-41.0,2,1667.744438
-44.0,2,1672.278516
-47.0,2,1672.278573
-50.0,1,1675.325413
