#{"t_start": 1748716358.5233672, "env_id": "None"}
r,l,t
-100.0,1,1885.367606
-110.0,2,1885.367696
-100.0,1,1896.454361
-100.0,1,1902.322947
-110.0,2,1902.323005
-100.0,1,1912.824
-105.0,1,1912.824061
-100.0,1,1922.564852
-110.0,2,1932.317617
-110.0,2,1936.710244
-100.0,1,1936.710313
-100.0,1,1941.165479
-100.0,1,1941.165546
-100.0,1,1947.882274
-102.5,1,1947.882329
-100.0,1,1956.628798
-110.0,2,1961.301613
-100.0,1,1961.301674
-110.0,2,1975.459877
-110.0,2,1975.45995
-100.0,1,1982.0073
-100.0,1,1985.936027
-110.0,2,1985.936089
-100.0,1,1992.279349
-110.0,2,1996.323893
-100.0,1,1996.323952
-100.0,1,2002.888464
-110.0,2,2007.124637
-100.0,1,2007.124697
-100.0,1,2014.559032
-110.0,2,2023.099695
-110.0,2,2030.871795
-110.0,2,2041.711841
-110.0,2,2048.50822
-100.0,1,2048.508325
-100.0,1,2058.052966
-100.0,1,2063.921297
-110.0,2,2063.921373
-100.0,1,2073.491804
-100.0,1,2079.32786
-110.0,2,2079.327923
-100.0,1,2089.938748
-100.0,1,2096.411999
-110.0,2,2096.412076
-100.0,1,2105.582313
-100.0,1,2111.274733
-110.0,2,2111.274794
-102.5,1,2120.713153
-100.0,1,2120.713231
-100.0,1,2132.873447
-110.0,2,2140.507266
-100.0,1,2140.507565
-102.5,1,2150.986642
-100.0,1,2150.986741
-100.0,1,2161.357177
-110.0,2,2166.987156
-100.0,1,2166.987215
-110.0,2,2184.923289
-110.0,2,2184.923405
-100.0,1,2196.191699
-110.0,2,2203.630702
-102.5,1,2203.630775
-110.0,2,2222.428641
-110.0,2,2222.428695
-100.0,1,2229.370572
-100.0,1,2229.370635
-100.0,1,2235.320588
-100.0,1,2235.320677
-100.0,1,2240.539274
-100.0,1,2240.539325
-100.0,1,2247.039804
-100.0,1,2247.039858
-100.0,1,2258.688898
-110.0,2,2266.360952
-100.0,1,2266.361022
-100.0,1,2277.227211
-100.0,1,2282.957835
-110.0,2,2282.957904
-100.0,1,2293.850281
-100.0,1,2299.883353
-110.0,2,2299.883413
-100.0,1,2304.635525
-100.0,1,2304.63558
-100.0,1,2309.401526
-100.0,1,2309.401746
-100.0,1,2314.2152
-100.0,1,2314.215259
-100.0,1,2320.038415
-100.0,1,2320.038502
-100.0,1,2328.725125
-110.0,2,2334.028047
-100.0,1,2334.028112
-100.0,1,2343.041697
-110.0,2,2349.007334
-100.0,1,2349.007399
-100.0,1,2358.656371
-100.0,1,2364.60904
-110.0,2,2364.609109
-102.5,1,2373.482236
-100.0,1,2373.482392
-100.0,1,2383.097873
-110.0,2,2389.055138
-100.0,1,2389.055204
-100.0,1,2395.002416
-100.0,1,2395.002483
-100.0,1,2405.085102
-100.0,1,2410.810778
-110.0,2,2410.810845
-100.0,1,2420.466459
-110.0,2,2426.726528
-100.0,1,2426.726587
-100.0,1,2433.001892
-100.0,1,2433.001956
-100.0,1,2443.493013
-100.0,1,2450.271647
-110.0,2,2450.271711
-100.0,1,2455.818661
-100.0,1,2455.818731
-105.0,1,2465.291087
-100.0,1,2465.291185
-100.0,1,2470.938091
-100.0,1,2470.938155
-100.0,1,2476.3643
-100.0,1,2476.364359
-100.0,1,2484.923719
-110.0,2,2493.166991
-100.0,1,2498.950113
-110.0,2,2498.950181
-100.0,1,2505.095402
-100.0,1,2505.095606
-100.0,1,2511.125658
-100.0,1,2511.125721
-100.0,1,2518.852216
-110.0,2,2524.012768
-100.0,1,2524.012828
-100.0,1,2533.001158
-100.0,1,2538.169352
-110.0,2,2538.169414
-100.0,1,2546.822517
-110.0,2,2555.951086
-110.0,2,2565.814436
-110.0,2,2575.69111
-110.0,2,2580.563812
-100.0,1,2580.563874
-100.0,1,2585.489012
-100.0,1,2585.489106
-100.0,1,2593.922772
-110.0,2,2598.837192
-100.0,1,2598.837247
-100.0,1,2604.153217
-100.0,1,2604.153277
-100.0,1,2614.207274
-100.0,1,2619.501413
-110.0,2,2619.501481
-100.0,1,2626.99697
-105.0,1,2626.997031
-110.0,2,2641.207356
-110.0,2,2641.207418
-100.0,1,2645.378589
-100.0,1,2645.378651
-100.0,1,2649.567709
-100.0,1,2649.567767
-100.0,1,2656.541549
-100.0,1,2660.499768
-110.0,2,2660.499827
-100.0,1,2666.5894
-110.0,2,2670.439157
-100.0,1,2670.439215
-102.5,1,2677.933671
-110.0,2,2682.117974
-100.0,1,2682.118033
-100.0,1,2688.985277
-100.0,1,2693.080351
-110.0,2,2693.080409
-100.0,1,2700.123073
-110.0,2,2705.17932
-102.5,1,2705.179384
-100.0,1,2715.658487
-110.0,2,2721.437244
-100.0,1,2721.437306
-100.0,1,2729.637194
-110.0,2,2733.978976
-100.0,1,2733.979043
-100.0,1,2738.30561
-100.0,1,2738.305663
-100.0,1,2744.864807
-105.0,1,2744.864869
-100.0,1,2750.428863
-100.0,1,2750.428926
-100.0,1,2756.067771
-100.0,1,2756.067837
-100.0,1,2761.952032
-100.0,1,2761.952095
-100.0,1,2766.585323
-100.0,1,2766.585386
-110.0,2,2784.130947
-110.0,2,2784.131041
-100.0,1,2793.53282
-110.0,2,2799.383431
-100.0,1,2799.383486
-100.0,1,2810.056454
-110.0,2,2820.517524
-110.0,2,2828.770924
-110.0,2,2833.904117
-100.0,1,2833.90418
-100.0,1,2842.114368
-100.0,1,2846.87912
-110.0,2,2846.879186
-102.5,1,2858.233002
-110.0,2,2869.133995
-110.0,2,2878.896919
-110.0,2,2884.645888
-100.0,1,2884.645993
-100.0,1,2891.184455
-100.0,1,2891.184522
-100.0,1,2900.952946
-100.0,1,2905.954181
-110.0,2,2905.954251
-100.0,1,2911.581156
-100.0,1,2911.581216
-100.0,1,2916.664688
-100.0,1,2916.664764
-100.0,1,2922.311209
